No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
14402,54058-285986,US,CO,32.928502,-80.687219,1588 Bells Hwy,walterboro,SC,294882518,Eastern Standard Time,GMT-05:00,America/New_York,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
14403,8824-93269,US,CO,33.610623,-114.605252,745 West Hobsonway,blythe,CA,922251514,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,23:00,04:30,23:00,04:30,23:00,04:30,23:00,04:30,23:00,04:30,23:00,05:00,23:00
14404,73575-80150,US,LS,33.609223,-114.587239,840 E Hobson Way,blythe,CA,922251800,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14405,74999-101170,US,LS,34.154332,-114.279874,121 W Riverside Rd,parker,AZ,853445220,US Mountain Standard Time,GMT-07:00,America/Phoenix,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14406,75837-98396,US,LS,40.85677,-82.262069,715 US Highway 250 East,ashland,OH,448059754,Eastern Standard Time,GMT-05:00,America/New_York,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,06:00,21:00,07:00,21:00
14407,24094-234445,US,LS,40.565896,-90.03408,825 N Main St,canton,IL,61520,Central Standard Time,GMT-06:00,America/Chicago,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00
14408,21282-204244,US,LS,41.347726,-89.127225,1651 Midtown Rd,peru,IL,61354,Central Standard Time,GMT-06:00,America/Chicago,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
14409,76613-101790,US,LS,41.362091,-89.129024,4370 Venture Dr,peru,IL,613541013,Central Standard Time,GMT-06:00,America/Chicago,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,20:00
14410,20877-208284,US,LS,40.930875,-72.679195,1150 Old Country Rd,riverhead,NY,11901,Eastern Standard Time,GMT-05:00,America/New_York,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
14411,18624-187364,US,CO,40.923939,-72.703293,1755 OLD COUNTRY RD,riverhead,NY,119014456,Eastern Standard Time,GMT-05:00,America/New_York,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,06:00,20:00,06:00,20:00
14412,66228-298676,US,LS,40.917369,-72.709512,1400 Tanger Mall Drive,riverhead,NY,11901,Eastern Standard Time,GMT-05:00,America/New_York,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,19:00
14413,75532-49539,US,LS,40.058728,-78.08178,3744 N Hess Rd,waterfall,PA,166896908,Eastern Standard Time,GMT-05:00,America/New_York,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00
